stg;aikz;ktxt;dtxt;ltxt;astat;fb;astfr;astgrp;zulplaugr;kzfaarray;sortkz1;sprache;refstg;efh
808;A;Nie-Dt-Stu;Niederl.-Deutschl Studien;Niederlande-Deutschland-Studien                                                                                                                                                                                                                                ;0370;08;10;010;<null>;<null>;<null>;D  ;808;1120
863;A;Rw Lateina;Interd. RW Lateinamerikas;Interdisziplinäre Regionalwissenschaften Lateinamerikas                                                                                                                                                                                                        ;0913;00;21;010;<null>;<null>;<null>;D  ;863;1120
911;A;Linguist.D;Linguist. Datenverarbeit.;Linguistische Datenverarbeitung                                                                                                                                                                                                                                ;0911;00;16;010;<null>;<null>;<null>;D  ;911;1120
979;A;Niederl-St;Niederl. (Niederl.-Studie;Niederlande-Studien                                                                                                                                                                                                                                            ;0119;00;10;010;<null>;<null>;<null>;D  ;979;1120
805;A;Lb Sachunt;Lb Sachunterricht        ;Lernbereich Sachunterricht                                                                                                                                                                                                                                     ;0517;00;98;110;<null>;<null>;<null>;D  ;805;1120
053;A;Ev. Theolo;Ev.Theologie             ;Evangelische Theologie                                                                                                                                                                                                                                         ;0053;01;02;010;<null>;          ;<null>;D  ;053;1120
073;A;Hebräisch ;Hebräisch                ;Hebräisch                                                                                                                                                                                                                                                      ;0053;01;14;010;<null>;<null>;<null>;D  ;073;1120
086;A;Kath. Theo;Kath.Theologie           ;Katholische Theologie                                                                                                                                                                                                                                          ;0086;02;03;010;<null>;<null>;<null>;D  ;086;1120
914;A;Kanon.Rech;Kanonisches Recht        ;Kanonisches Recht                                                                                                                                                                                                                                              ;0914;02;03;010;<null>;<null>;<null>;D  ;914;1120
966;A;Religionsw;Religionswissenschaft    ;Religionswissenschaft                                                                                                                                                                                                                                          ;0A71;02;03;010;<null>;<null>;<null>;D  ;966;1120
135;A;Rechtsw.  ;Rechtswissenschaft       ;Rechtswissenschaft                                                                                                                                                                                                                                             ;0135;03;25;030;<null>;<null>;<null>;D  ;135;1120
549;A;Fremds.Jur;Fachsp. Fremdspr. Jurist.;Fachspezifische Fremdsprachenausbildung für Juristen                                                                                                                                                                                                           ;0324;03;25;030;<null>;<null>;<null>;D  ;549;1120
803;A;Zivilrecht;Zivilrecht               ;Zivilrecht                                                                                                                                                                                                                                                     ;0A15;03;25;030;<null>;<null>;<null>;D  ;803;1120
804;A;Öff. Recht;Öffentliches Recht       ;Öffentliches Recht                                                                                                                                                                                                                                             ;0A16;03;25;030;<null>;<null>;<null>;D  ;804;1120
021;A;Betriebsw.;Betriebswirtschaftslehre ;Betriebswirtschaftslehre                                                                                                                                                                                                                                       ;0021;04;29;030;<null>;<null>;<null>;D  ;021;1120
175;A;Volkswirts;Volkswirtschaftslehre    ;Volkswirtschaftslehre                                                                                                                                                                                                                                          ;0175;04;29;030;<null>;<null>;<null>;D  ;175;1120
674;A;Ökonomie  ;Ökonomie                 ;Ökonomie                                                                                                                                                                                                                                                       ;0674;04;29;010;<null>;<null>;<null>;D  ;674;1120
920;A;Wirt-Polit;Wirtschaftspolitik       ;Wirtschaftspolitik                                                                                                                                                                                                                                             ;0990;04;23;010;<null>;<null>;<null>;D  ;920;1120
921;A;W-Wissensc;Wirtschaftswissenschaften;Wirtschaftswissenschaften und Ihre Didaktik                                                                                                                                                                                                                    ;0148;04;29;010;<null>;<null>;<null>;D  ;921;1120
107;A;Medizin   ;Medizin                  ;Medizin                                                                                                                                                                                                                                                        ;0107;05;44;050;<null>;<null>;<null>;D  ;107;1120
185;A;Zahnmedizi;Zahnmedizin              ;Zahnmedizin                                                                                                                                                                                                                                                    ;0185;05;52;060;<null>;<null>;<null>;D  ;185;1120
901;A;E-Veran   ;E-Veranst.               ;Einzelveranstaltung                                                                                                                                                                                                                                            ;0107;05;44;050;<null>;<null>;<null>;D  ;901;1120
971;A;Medizin(Nf;Medizin (Nf)             ;Medizin (Nf)                                                                                                                                                                                                                                                   ;0107;05;44;050;<null>;<null>;<null>;D  ;971;1120
