stgext;aikz;ktxt;dtxt;ltxt;astat;astfr;astgrp
0C17;A;Kogn.Infor;Kognitive Informatik     ;Kognitive Informatik                                                                                                                                                                                                                                           ;0C17;<null>;<null>
0C19;A;Islamunter;Islamunterricht          ;Islamunterricht                                                                                                                                                                                                                                                ;0C19;<null>;<null>
0C21;A;Musik im K;Musik im Kontext         ;Musik im Kontext                                                                                                                                                                                                                                               ;0C21;<null>;<null>
0C22;A;Musik und ;Musik und Kreativität    ;Musik und Kreativität                                                                                                                                                                                                                                          ;0C22;<null>;<null>
0C23;A;Musik und ;Musik und Vermittlung    ;Musik und Vermittlung                                                                                                                                                                                                                                          ;0C23;<null>;<null>
0C24;A;Int. Busin;Intern. Business         ;International Business                                                                                                                                                                                                                                         ;0C24;<null>;<null>
0C27;A;Molekulare;Molekulare Biomedizin    ;Molekulare Biomedizin                                                                                                                                                                                                                                          ;0C27;<null>;<null>
0C31;A;Politik un;Politik und Wirtschaft   ;Politik und Wirtschaft                                                                                                                                                                                                                                         ;0C31;<null>;<null>
0C32;A;Bus.Commun;Business Communication   ;Business Communication (Priv. FH Dortmund)                                                                                                                                                                                                                     ;0C32;<null>;<null>
0C34;A;Asienwisse;Asienwissenschaften      ;Asienwissenschaften                                                                                                                                                                                                                                            ;0C34;<null>;<null>
0C36;A;Language, ;Language, Text and Inform;Language, Text and Information                                                                                                                                                                                                                                 ;0C36;<null>;<null>
0C37;A;Orchesters;Orchesterspiel           ;Orchesterspiel                                                                                                                                                                                                                                                 ;0C37;<null>;<null>
0C39;A;Klin.Psych;Klinische Psychologie    ;Klinische Psychologie                                                                                                                                                                                                                                          ;0C39;<null>;<null>
0C40;A;Soziale Ar;Soziale Arbeit           ;Soziale Arbeit                                                                                                                                                                                                                                                 ;0C40;<null>;<null>
0C41;A;Book Studi;Book Studies             ;Book Studies                                                                                                                                                                                                                                                   ;0C41;<null>;<null>
0C42;A;Economics ;Economics and Law        ;Economics and Law                                                                                                                                                                                                                                              ;0C42;<null>;<null>
0C43;A;Islamische;Islamische Theologie     ;Islamische Theologie                                                                                                                                                                                                                                           ;0C43;<null>;<null>
0C44;A;Ökonomik  ;Ökonomik                 ;Ökonomik                                                                                                                                                                                                                                                       ;0C44;<null>;<null>
0C45;A;Politik un;Politik und Recht        ;Politik und Recht                                                                                                                                                                                                                                              ;0C45;<null>;<null>
0C46;A;Arabisch-I;Arabisch-Islamische Kultu;Arabisch-Islamische Kultur                                                                                                                                                                                                                                     ;0C46;<null>;<null>
0C47;A;Arabische ;Arabische Sprache und Lit;Arabische Sprache und Literatur                                                                                                                                                                                                                                ;0C47;<null>;<null>
0C51;A;Gen.b.SyBi;Genome bas.SystemsBiology;Genome based Systems Biology                                                                                                                                                                                                                                   ;0C51;<null>;<null>
0C52;A;History, P;History, Philosophy and S;History, Philosophy and Sociology of Science                                                                                                                                                                                                                   ;0C52;<null>;<null>
0C62;A;Georessour;Georessourcenmanagement  ;Georessourcenmanagement                                                                                                                                                                                                                                        ;0C62;<null>;<null>
0C65;A;Spr. u. Ko;Sprach- und Kommunikation;Sprach- und Kommunikationswissenschaft                                                                                                                                                                                                                         ;0C65;<null>;<null>
0C66;A;VWL u WG  ;VWL u Wirtschaftsgeschich;Volkswirtschaftslehre und Wirtschaftsgeschichte                                                                                                                                                                                                                ;0C66;<null>;<null>
0C74;A;EBP       ;European Bus.Program(EBP);European Business Program (EBP)                                                                                                                                                                                                                                ;0C74;<null>;<null>
0C75;A;BiWi - FeU;Bildungsw (Fernuni Hagen);Bildungswissenschaft (Fernuni Hagen)                                                                                                                                                                                                                           ;0C75;<null>;<null>
0C77;A;Kunst1-Fch;Kunst (Ein-Fach)         ;Kunst (Ein-Fach)                                                                                                                                                                                                                                               ;0C77;<null>;<null>
0C82;A;Kunst / Ge;Kunst / Gestalten        ;Kunst / Gestalten                                                                                                                                                                                                                                              ;0C82;<null>;<null>
0C84;A;Gesundheit;Gesundheitsmanagement    ;Gesundheitsmanagement                                                                                                                                                                                                                                          ;0C84;<null>;<null>
0C85;A;Media Mgmt;Media Management         ;Media Management                                                                                                                                                                                                                                               ;0C85;<null>;<null>
0C86;A;BusPsychol;Business Psychology      ;Business Psychology                                                                                                                                                                                                                                            ;0C86;<null>;<null>
0C87;A;Indiv.uSoz;Individ.u. Sozialstruktur;Individualisierung und Sozialstruktur                                                                                                                                                                                                                          ;0C87;<null>;<null>
0C88;A;Bus.Econom;Business Economics       ;Business Economics                                                                                                                                                                                                                                             ;0C88;<null>;<null>
0C89;A;Gen.Manag.;General Management       ;General Management                                                                                                                                                                                                                                             ;0C89;<null>;<null>
0C92;A;Rehabilita;Rehabilitationspädagogik ;Rehabilitationspädagogik                                                                                                                                                                                                                                       ;0C92;<null>;<null>
0D10;A;Fahrzg/AuE;Fahrzgbau/Automot.Enginee;Fahrzeugbau/Automotive Engineering                                                                                                                                                                                                                             ;0D10;<null>;<null>
0D17;A;Sprachen u;Sprachen und Kulturen Ägy;Sprachen und Kulturen Ägyptens und Altvorderasiens                                                                                                                                                                                                             ;0D17;<null>;<null>
0D18;A;Archäologi;Archäologie, Geschichte, ;Archäologie, Geschichte, Landschaft                                                                                                                                                                                                                            ;0D18;<null>;<null>
0D19;A;Klassische;Klassische und Frühchrist;Klassische und Frühchristliche Archäologie                                                                                                                                                                                                                     ;0D19;<null>;<null>
0D20;A;Kultur- un;Kultur- und Sozialanthrop;Kultur- und Sozialanthropologie                                                                                                                                                                                                                                ;0D20;<null>;<null>
0D21;A;Regionalst;Regionalstudien Ostmittel;Regionalstudien Ostmitteleuropa                                                                                                                                                                                                                                ;0D21;<null>;<null>
0D22;A;Antike Kul;Antike Kulturen          ;Antike Kulturen                                                                                                                                                                                                                                                ;0D22;<null>;<null>
0D23;A;Health c M;Health Care Management   ;Health Care Management                                                                                                                                                                                                                                         ;0D23;<null>;<null>
0D27;A;Informatio;Information Systems      ;Information Systems                                                                                                                                                                                                                                            ;0D27;<null>;<null>
0D31;A;Gesw/Pfleg;Gesundheitsw./Pflege     ;Gesundheitswissenschaft / Pflege                                                                                                                                                                                                                               ;0D31;<null>;<null>
0D36;A;Praktische;Praktische Philosophie   ;Praktische Philosophie                                                                                                                                                                                                                                         ;0D36;<null>;<null>
0D37;A;Arbeits- u;Arbeits- und Organisation;Arbeits- und Organisationspsychologie                                                                                                                                                                                                                          ;0D37;<null>;<null>
0D38;A;Management;Management               ;Management (Uni Bochum)                                                                                                                                                                                                                                        ;0D38;<null>;<null>
0D40;A;Angewandte;Angewandte Ethik         ;Angewandte Ethik                                                                                                                                                                                                                                               ;0D40;<null>;<null>
0D45;A;Anglistik ;Anglistik und Amerikanist;Anglistik und Amerikanistik                                                                                                                                                                                                                                    ;0D45;<null>;<null>
0D48;A;Economics ;Economics                ;Economics                                                                                                                                                                                                                                                      ;0D48;<null>;<null>
0D49;A;English St;English Studies          ;English Studies                                                                                                                                                                                                                                                ;0D49;<null>;<null>
0D55;A;Pol u Ges ;Politik und Gesellschaft ;Politik und Gesellschaft                                                                                                                                                                                                                                       ;0D55;<null>;<null>
0D60;A;Intelligen;Intelligente Systeme     ;Intelligente Systeme                                                                                                                                                                                                                                           ;0D60;<null>;<null>
0D69;A;Comm u MMg;Communic.a.Media Managemt;Communication and Media Management                                                                                                                                                                                                                             ;0D69;<null>;<null>
0D76;A;App.Biotec;Apparative Biotechnologie;Apparative Biotechnologie                                                                                                                                                                                                                                      ;0D76;<null>;<null>
